uniqueID,spectrumID,name,asteroid classes,slope,sampleID,pca_1,pca_2,pca_3,pca_4,pca_5,General Type,Type 1,subtype,metbull type,clan subtype,class subtype
MT-D2M-247-A-BKR1MT247A,BKR1MT247A,EET 99400,V-type,0.0311,MT-D2M-247-A,0.5030,0.8819,-0.0778,0.0619,-0.0618,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-247-A-C1MT247A,C1MT247A,EET 99400,V-type,0.0314,MT-D2M-247-A,0.4984,0.8942,-0.0769,0.0591,-0.0569,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-248-A-BKR1MT248A,BKR1MT248A,GRO 95535,V-type,-0.0128,MT-D2M-248-A,-0.0679,0.8490,-0.1180,0.0265,0.0064,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-248-A-C1MT248A,C1MT248A,GRO 95535,V-type,-0.0122,MT-D2M-248-A,-0.0805,0.8622,-0.1160,0.0227,0.0172,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-249-A-BKR1MT249A,BKR1MT249A,GRO 95581,V-type,-0.0118,MT-D2M-249-A,-0.0528,0.8107,-0.1231,0.0226,0.0114,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-249-A-C1MT249A,C1MT249A,GRO 95581,V-type,-0.0111,MT-D2M-249-A,-0.0656,0.8239,-0.1214,0.0191,0.0222,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-250-A-BKR1MT250A,BKR1MT250A,LAP 04838,V-type,0.1877,MT-D2M-250-A,0.3925,0.6925,0.0725,-0.0001,-0.0087,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-250-A-C1MT250A,C1MT250A,LAP 04838,V-type,0.1855,MT-D2M-250-A,0.3380,0.7156,0.0674,0.0043,0.0026,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-251-A-BKR1MT251A,BKR1MT251A,LEW 86001,V-type,0.0104,MT-D2M-251-A,0.1937,0.9521,0.1803,0.1474,-0.0366,Rock,Achondrite,Eucrite Polymict,Eucrite-pmict,HED,HED
MT-D2M-251-A-C1MT251A,C1MT251A,LEW 86001,V-type,0.0101,MT-D2M-251-A,0.1351,0.9730,0.1745,0.1501,-0.0238,Rock,Achondrite,Eucrite Polymict,Eucrite-pmict,HED,HED
MT-D2M-252-A-BKR1MT252A,BKR1MT252A,MET 96500,V-type,0.0232,MT-D2M-252-A,0.1352,0.7049,-0.0271,0.0186,0.0263,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-252-A-C1MT252A,C1MT252A,MET 96500,V-type,0.0231,MT-D2M-252-A,0.1118,0.7195,-0.0294,0.0192,0.0325,Rock,Achondrite,Howardite,Howardite,HED,HED
