uniqueID,spectrumID,name,asteroid classes,slope,sampleID,pca_1,pca_2,pca_3,pca_4,pca_5,General Type,Type 1,subtype,metbull type,clan subtype,class subtype
MT-BEC-090-A-C1MT90A,C1MT90A,Allende,B-type,-0.1653,MT-BEC-090-A,-0.6245,0.0505,-0.1191,-0.0903,-0.0198,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-090-A-C2MT90A,C2MT90A,Allende,B-type,-0.0556,MT-BEC-090-A,-0.3415,-0.0529,-0.1038,-0.0505,-0.0203,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-090-A-C3MT90A,C3MT90A,Allende,B-type,-0.0985,MT-BEC-090-A,-0.5022,0.0084,-0.1022,-0.0526,-0.0199,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-090-B-C1MT90B,C1MT90B,Allende,B-type,-0.1499,MT-BEC-090-B,-0.5505,0.0095,-0.1328,-0.0837,-0.0513,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-090-B-C3MT90B,C3MT90B,Allende,B-type,-0.0736,MT-BEC-090-B,-0.4691,-0.0212,-0.1044,-0.0483,-0.0404,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-090-C-C1MT90C,C1MT90C,Allende,B-type,-0.1597,MT-BEC-090-C,-0.5681,0.0163,-0.1286,-0.0744,-0.0268,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-090-C-C3MT90C,C3MT90C,Allende,B-type,-0.0991,MT-BEC-090-C,-0.3601,-0.0753,-0.1134,-0.0629,-0.0569,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-090-D-C1MT90D,C1MT90D,Allende,B-type,-0.1731,MT-BEC-090-D,-0.4945,-0.0050,-0.1230,-0.0875,-0.0441,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-090-D-C3MT90D,C3MT90D,Allende,B-type,-0.1157,MT-BEC-090-D,-0.4706,-0.0094,-0.1107,-0.0520,-0.0260,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-091-A-BIR1MT091A,BIR1MT091A,Allende,Sq-type,-0.1085,MT-BEC-091-A,-0.2159,0.1488,0.0763,0.0292,-0.0083,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-091-A-C1MT91A,C1MT91A,Allende,K-type__Xe-type,-0.1296,MT-BEC-091-A,-0.5161,0.0358,0.0711,0.0079,-0.0330,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
